F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_49_883.jpg,0,1,0,11.53841
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_49_956.jpg,0,1,0,12.55821
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_023.jpg,0,1,0,13.10373
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_095.jpg,-0.15,1,0,14.21047
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_166.jpg,-0.3,1,0,14.59783
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_243.jpg,-0.5000001,0.7727709,0,15.25974
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_317.jpg,0,0.5490897,0,15.57589
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_388.jpg,0,0.3757758,0,16.25156
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_459.jpg,-0.2,0.1229604,0,16.38622
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_533.jpg,-0.4,0.1683012,0,16.27909
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_612.jpg,-0.6000001,0.4072599,0,16.31611
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_692.jpg,-0.8000001,0.6451043,0,16.51912
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_759.jpg,0,0.5361311,0,16.48215
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_830.jpg,0,0.3743624,0,16.90247
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_897.jpg,0,0.1221942,0,16.98746
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_50_965.jpg,0,0,0,16.44975
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_047.jpg,-0.05,0,0,16.2975
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_117.jpg,-0.25,0,0,16.15827
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_198.jpg,-0.45,0.1430424,0,16.0019
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_279.jpg,-0.6500001,0.3882498,0,16.07315
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_351.jpg,-0.8500001,0.604236,0,16.29533
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_423.jpg,0,0.4982583,0,16.79368
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_492.jpg,0,0.290883,0,16.95794
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_560.jpg,0,0.08866409,0,16.54252
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_627.jpg,0,0,0,16.94142
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_696.jpg,0,0,0,16.8173
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_765.jpg,0,0,0,16.17166
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_834.jpg,0,0,0,16.03967
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_907.jpg,0,0.0527046,0,16.4896
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_51_969.jpg,0,0.2025786,0,15.93245
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_52_037.jpg,0,0.3500102,0,16.17998
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_52_105.jpg,0,0.1489901,0,16.74837
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_52_172.jpg,0,0,0,16.68048
F:\Final Year Project\Data\IMG\center_2021_03_16_17_13_52_250.jpg,-0.05,0,0,16.03461
